episode,reward,steps,finished,offtrack_ratio,tiles_visited
315,-234.9999999999998,50,0,1.0,4
316,-234.9999999999998,50,0,1.0,4
317,-214.99999999999983,50,0,1.0,6
318,-234.99999999999983,50,0,1.0,4
319,-224.99999999999983,50,0,1.0,5
320,-224.99999999999983,50,0,1.0,5
321,-244.9999999999998,50,0,1.0,3
322,-224.99999999999983,50,0,1.0,5
323,-234.99999999999983,50,0,1.0,4
324,-234.99999999999983,50,0,1.0,4
325,-234.9999999999998,50,0,1.0,4
326,-244.9999999999998,50,0,1.0,3
327,-224.99999999999983,50,0,1.0,5
328,-234.99999999999983,50,0,1.0,4
329,-224.99999999999983,50,0,1.0,5
330,-234.99999999999983,50,0,1.0,4
331,-224.99999999999983,50,0,1.0,5
332,-234.99999999999983,50,0,1.0,4
333,-224.99999999999983,50,0,1.0,5
334,-234.9999999999998,50,0,1.0,4
335,-224.99999999999983,50,0,1.0,5
336,-234.9999999999998,50,0,1.0,4
337,-234.9999999999998,50,0,1.0,4
338,-224.99999999999983,50,0,1.0,5
339,-234.99999999999983,50,0,1.0,4
340,-234.99999999999983,50,0,1.0,4
341,-234.9999999999998,50,0,1.0,4
342,-234.99999999999983,50,0,1.0,4
343,-234.99999999999983,50,0,1.0,4
344,-244.9999999999998,50,0,1.0,3
345,-234.99999999999983,50,0,1.0,4
346,-224.99999999999983,50,0,1.0,5
347,-244.9999999999998,50,0,1.0,3
348,-244.9999999999998,50,0,1.0,3
349,-234.9999999999998,50,0,1.0,4
350,-234.99999999999983,50,0,1.0,4
351,-234.99999999999983,50,0,1.0,4
352,-234.9999999999998,50,0,1.0,4
353,-234.9999999999998,50,0,1.0,4
354,-224.99999999999983,50,0,1.0,5
355,-234.99999999999983,50,0,1.0,4
356,-234.9999999999998,50,0,1.0,4
357,-234.9999999999998,50,0,1.0,4
358,-224.99999999999983,50,0,1.0,5
359,-234.9999999999998,50,0,1.0,4
360,-234.99999999999983,50,0,1.0,4
361,-244.9999999999998,50,0,1.0,3
362,-244.9999999999998,50,0,1.0,3
363,-244.9999999999998,50,0,1.0,3
364,-234.99999999999983,50,0,1.0,4
365,-244.9999999999998,50,0,1.0,3
366,-244.9999999999998,50,0,1.0,3
367,-234.9999999999998,50,0,1.0,4
368,-244.9999999999998,50,0,1.0,3
369,-244.9999999999998,50,0,1.0,3
370,-244.9999999999998,50,0,1.0,3
371,-244.9999999999998,50,0,1.0,3
372,-244.9999999999998,50,0,1.0,3
373,-244.9999999999998,50,0,1.0,3
374,-234.9999999999998,50,0,1.0,4
375,-234.99999999999983,50,0,1.0,4
376,-234.9999999999998,50,0,1.0,4
377,-224.99999999999983,50,0,1.0,5
378,-234.9999999999998,50,0,1.0,4
379,-234.99999999999983,50,0,1.0,4
380,-234.9999999999998,50,0,1.0,4
381,-234.99999999999983,50,0,1.0,4
382,-234.99999999999983,50,0,1.0,4
383,-234.99999999999983,50,0,1.0,4
384,-234.9999999999998,50,0,1.0,4
